user_id,website_area
10001,regwiz
10001,Support Desktop
10001,End User Produced View
10002,Support Desktop
10002,Knowledge Base
10003,Support Desktop
10003,Knowledge Base
10003,Microsoft.com Search
10004,Norway
10005,misc
10006,Knowledge Base
10006,Microsoft.com Search
10007,International IE content
10008,Microsoft.com Search
10009,Free Downloads
10009,Windows Family of OSs
10010,Visual Basic
10010,regwiz
10010,MS Office Development
10010,Outlook Development
10010,Visual Basic Support
10010,Office Free Stuff
10011,Excel
10011,MS Excel
10011,Products 
10011,isapi
10011,MS PowerPoint
10012,Developer Network
10012,Visual C
10013,Typography Site
10014,Spain
10015,Internet Information Server
10016,Web Site Builder's Gallery
10016,Internet Site Construction for Developers
10017,Internet Development
10017,Products 
10017,Internet Site Construction for Developers
10017,OLE Development
10018,Microsoft.com Search
10019,Products 
10019,Microsoft.com Search
10019,isapi
10019,Clip Gallery Live
10019,Free Downloads
10019,Windows NT Server
10019,MS Office
10019,Games
10019,Knowledge Base
10019,MS Store Logo Merchandise
10019,End User Produced View
10020,Free Downloads
10020,Support Desktop
10020,Internet Explorer
10020,End User Produced View
10021,Products 
10021,Microsoft.com Search
10021,isapi
10021,Windows95 Support
10021,Corporate Desktop Evaluation
10021,Free Downloads
10021,Windows 95
10021,Windows Family of OSs
10021,SiteBuilder Network Membership
10021,Internet Site Construction for Developers
10021,Internet Service Providers
10021,MS Office Info
10021,Games
10021,Developer Workshop
10021,Visual Studio
10021,Internet Explorer
10021,Connecting Small Business
10022,Free Downloads
10022,Products 
10022,Microsoft.com Search
10023,Free Downloads
10024,Developer Media Development
10025,NetMeeting
10026,Internet Explorer
10027,Free Downloads
10027,IE Support
10027,Internet Explorer
10028,Training
10029,Internet Explorer
10030,Products 
10030,MS Publisher
10031,NetMeeting
10031,Support Network Program Information
10031,isapi
10031,Free Downloads
10031,Windows95 Support
10031,Internet Development
10031,IE Support
10031,Windows Family of OSs
10031,MS Office
10031,Developer Workshop
10031,Support Desktop
10031,Knowledge Base
10031,End User Produced View
10031,Internet Explorer
10032,Macintosh Office
10033,Games
10034,Windows 95
10034,Windows Family of OSs
10034,Microsoft.com Search
10035,Free Downloads
10035,MS Schedule+ News
10035,SiteBuilder Network Membership
10035,MS Office
10035,MS Word News
10035,Jakarta
10035,isapi
10036,MS Schedule+ News
10036,Exchange
10036,isapi
10036,Windows95 Support
10036,Free Downloads
10036,Windows Family of OSs
10036,Internet Site Construction for Developers
10036,MS Office Info
10036,MS Word News
10036,Developer Workshop
10036,Knowledge Base
10036,Internet Explorer
10036,MS Publisher
10037,Free Downloads
10037,MSHome Kids Stuff
10037,sports
10037,Products 
10037,Games
10038,Free Downloads
10038,Internet Development
10038,Internet Site Construction for Developers
10038,Developer Workshop
10038,Games
10038,Support Desktop
10038,Knowledge Base
10038,isapi
10038,MS PowerPoint News
10039,regwiz
10039,SP Referral (ART)
10039,Products 
10039,Support Network Program Information
10039,Support Desktop
10039,Internet Explorer
10040,Free Downloads
10040,Internet Explorer
10041,Free Downloads
10041,Windows Family of OSs
10041,Internet Explorer
10042,Windows NT Server
10042,Microsoft.com Search
10043,Free Downloads
10043,Windows Family of OSs
10044,Free Downloads
10044,Microsoft.com Search
10044,Internet Explorer
10045,Internet Explorer
10046,Internet Site Construction for Developers
10047,Internet Site Construction for Developers
10047,Sweden
10048,International IE content
10049,SiteBuilder Network Membership
10049,Internet Site Construction for Developers
10049,Jakarta
10050,Web Site Builder's Gallery
10051,IE Support
10051,Internet Explorer
10052,Free Downloads
10052,Developer Network
10052,Visual Studio
10053,MS Word News
10053,MS Word
10053,Microsoft.com Search
10054,Web Site Builder's Gallery
10055,Free Downloads
10055,Internet Explorer
10056,Free Downloads
10056,Internet Explorer
10057,Free Downloads
10057,Internet Explorer
10058,promo
10059,Free Downloads
10060,Games
10061,Internet Site Construction for Developers
10062,Free Downloads
10062,International IE content
10062,Internet Explorer
10063,Internet Explorer
10063,isapi
10064,Free Downloads
10064,Internet Explorer
10065,NetMeeting
10065,MS Access News
10065,Products 
10065,Microsoft.com Search
10065,Visual C
10065,Free Downloads
10065,sports
10065,IE Support
10065,MS Office Info
10065,Internet Explorer
10066,Microsoft.com Search
10067,Spain
10067,MS Office Info
10067,Products 
10067,Intranet Strategy
10068,MS Site Builder Workshop
10068,Java Strategy and Info
10068,Music Producer
10068,FrontPage
10068,Internet Development
10068,MS Office Info
10068,promo
10068,VBScript Development
10068,Visual Studio
10068,Internet Explorer
10068,Web Site Builder's Gallery
10068,Windows CE
10068,ActiveX Technology Development
10068,isapi
10068,Microsoft.com Search
10068,N. American Automap
10068,Visual InterDev
10068,Visual Basic
10068,Free Downloads
10068,SiteBuilder Network Membership
10068,Spain
10068,Internet Site Construction for Developers
10068,Developer Workshop
10069,Web Site Builder's Gallery
10069,Internet Site Construction for Developers
10070,Free Downloads
10070,Products 
10070,MS Office
10070,MS Word News
10070,Support Desktop
10070,Knowledge Base
10070,isapi
10071,Free Downloads
10071,Products 
10071,Internet Explorer
10072,Products 
10072,Microsoft.com Search
10073,regwiz
10073,MS Office
10073,Products 
10073,Office Free Stuff
10073,End User Produced View
10074,Web Site Builder's Gallery
10074,Typography Site
10074,Internet Site Construction for Developers
10074,Products 
10074,Jakarta
10075,Windows 95
10075,Windows Family of OSs
10075,Games
10076,Web Site Builder's Gallery
10076,Support Desktop
10076,Connecting Small Business
10076,Microsoft.com Search
10077,Free Downloads
10077,Windows NT Server
10077,Products 
10077,Knowledge Base
10077,Support Desktop
10077,Internet Explorer
10077,End User Produced View
10077,Microsoft.com Search
10078,Taiwan
10079,International IE content
10080,Free Downloads
10080,Internet Explorer
10081,Free Downloads
10081,Internet Explorer
10082,Internet Explorer
10083,Corporate Desktop Evaluation
10083,MS Office Info
10084,Free Downloads
10084,Internet Explorer
10085,Web Site Builder's Gallery
10085,Windows CE
10085,Products 
10085,Windows NT Workstation
10085,Free Downloads
10085,Windows 95
10085,Windows Family of OSs
10085,Internet Site Construction for Developers
10085,Games
10085,Internet Explorer
10086,Free Downloads
10086,Internet Explorer
10087,regwiz
10087,Office Free Stuff
10088,Free Downloads
10088,International IE content
10089,Windows95 Support
10089,Support Desktop
10089,Knowledge Base
10089,isapi
10090,Training
10091,Internet Explorer
10092,End User Produced View
10093,Free Downloads
10093,Internet Explorer
10094,Free Downloads
10094,International IE content
10095,Internet Explorer
10096,Free Downloads
10096,Windows Family of OSs
10096,Products 
10096,Internet Explorer
10097,Microsoft.com Search
10097,Internet Explorer
